978-84-261-3634-3@Una casa a la medida@ Petr Horácek@12.50@13.00
978-84-261-0056-6@Chesterton@  San Francisco de Asís @7.69@8.00
978-84-261-0079-5@Nuevo diccionario inglés-español y español-inglés@  Esteban MacCragh @15.38@16.00
978-84-261-0080-1@Para escribir correctamente@  Emilio Sabaté@11.54@12.00
978-84-261-0140-2@Santa Teresa@  Las moradas@6.73@7.00
978-84-261-0164-8@Munthe@  La historia de San Michele@6.73@7.00
978-84-261-0170-9@María Antonieta@  Stefan Zweig @18.27@19.00
978-84-261-0171-6@Magallanes. El hombre y su gesta@ Stefan Zweig @15.03@16.00
978-84-261-0172-3@La historia de San Michele@  Axel Munthe@17.31@18.00
978-84-261-0186-0 @Zweig@  Magallanes@6.73@7.00
978-84-261-0206-5@Brontë@  Jane Eyre @6.73@7.00
978-84-261-0264-5@La guerra naval en el Mediterráneo@  Luis de la Sierra @17.31@18.00
978-84-261-0267-6@Alicia en el país de las maravillas@   Lewis Carroll ilustrado por Lola Anglada@17.31@18.00
978-84-261-0273-7@Cuentos de Andersen@   Hans Christian Andersen   ilustr. por Arthur Rackham @17.31@18.00
978-84-261-0341-3@Figuras y leyendas mitológicas@ Emili Genest @11.54@12.00
978-84-261-0362-8@(14)   ¡Cuidado@ Siete Secretos! @8.56@8.90
978-84-261-0371-0@El príncipe que todo lo aprendió en los libros@ Jacinto Benavente@5.77@6.00
978-84-261-0378-9@Jenofonte@  La expedición de los Diez Mil@6.73@7.00
978-84-261-0472-4@Don Quijote de la Mancha@ Miguel de Cervantes @15.38@16.00
978-84-261-0508-0@Tolstoi@  Guerra y paz @8.65@9.00
978-84-261-0512-7@Melville@  Moby Dick @9.13@9.50
978-84-261-0513-4@Cervantes@  Don Quijote de la Mancha@13.46@14.00
978-84-261-0545-5@Dostoyevski@  El idiota@10.58@11.00
978-84-261-0596-7@Cervantes@  Novelas ejemplares@8.65@9.00
978-84-261-0598-1@Dostoyevski@  Los hermanos Karamazov @10.58@11.00
978-84-261-0599-1@Wreen@ Beau Geste@9.62@10.00
978-84-261-0600-1@Dumas@  Los tres mosqueteros@8.65@9.00
978-84-261-0603-2@Wilde@  El retrato de Dorian Gray @8.65@9.00
978-84-261-0614-8@Poe@  Narraciones extraordinarias @6.73@7.00
978-84-261-0615-5@Wilde@  El fantasma de Canterville y otras narraciones@6.73@7.00
978-84-261-0658-2@Homero@  La Odisea@6.73@7.00
978-84-261-0660-5@Anónimo@  Poema del Mío Cid @7.21@7.50
978-84-261-0664-8@ San Agustín@  Las confesiones@7.69@8.00
978-84-261-0686-5@Lope de Vega@  Fuenteovejuna y El villano en su rincón@6.73@7.00
978-84-261-0687-2@Rojas@ La Celestina@7.69@8.00
978-84-261-0726-8@Corsarios alemanes en la segunda guerra mundial@   Luis de la Sierra@14.42@15.00
978-84-261-0738-1@Así fué la guerra submarina@ Harald Busch@17.31@18.00
978-84-261-0744-2@La vuelta al mundo del Gipsy Moth@   Francis Chichester @14.42@15.00
978-84-261-0745-9@El «Sheila» en el viento@ Adrian Hayter@17.31@18.00
978-84-261-0748-0@La expedición de la Kon-Tiki@  Thor Heyerdahl@17.31@18.00
978-84-261-0782-4@Dante@  La divina comedia   @6.73@7.00
978-84-261-0787-9 @Maximiliano y Carlota@  Gene Smith@14.42@15.00
978-84-261-0788-6@Cabo de Hornos a la vela@  Bernard Moitessier.@14.42@15.00
978-84-261-0803-6@Shakespeare@  Romeo y Julieta @6.73@7.00
978-84-261-0838-5 @Diccionario de modismos ingleses y norteamericanos@ Torrents dels Prats  (Pendiente de reedición)@17.31@18.00
978-84-261-0844-9@Zweig@  María Estuardo @6.73@7.00
978-84-261-0864-7@(5)    ¡Adelante@ Siete Secretos! @8.56@8.90
978-84-261-0868-5@Austen@  Orgullo y prejuicio@7.21@7.50
978-84-261-0881-4@Virgilio@   La Eneida @6.73@7.00
978-84-261-0889-0@Óperas famosas@  Nicolás Barquet @14.42@15.00
978-84-261-0908-8@Homero@  Ilíada@7.69@8.00
978-84-261-0909-5@Dostoyevski@  Memorias del subsuelo@6.73@7.00
978-84-261-0914-9@Dickens@  Oliver Twist@9.13@9.50
978-84-261-0918-2@Morales@  Libro de oro de la poesía en lengua castellana.  (España y América)@12.50@13.00
978-84-261-0922-4@Calderón de la Barca y Lope de Vega@ El alcalde de Zalamea @6.73@7.00
978-84-261-0949-1@Napoleón@  Emil Ludwig@17.31@18.00
978-84-261-0985-9@Martín Vigil@  La vida sale al encuentro @9.62@10.00
978-84-261-0988-0@Ludwig@  Miguel Ángel@6.73@7.00
978-84-261-0989-7@Fouché@ el genio tenebroso  Stefan Zweig@15.38@16.00
978-84-261-1008-4@Diccionario marítimo@  Julián Amich@15.38@16.00
978-84-261-1008-4@Diccionario marítimo@  Julian Amich@15.38@16.00
978-84-261-1020-6@(6)    ¡Buen trabajo@ Siete Secretos! @8.56@8.90
978-84-261-1031-2@Submarino...!@  Edward L. Beach @14.42@15.00
978-84-261-1032-9@Ludwig@  Napoleón@8.65@9.00
978-84-261-1052-7@Zweig@  María Antonieta @8.65@9.00
